user,test_acc,auc
1,71.21212005615234%,0.7113965011629084
2,84.54545593261719%,0.8447770249772475
3,70.60606384277344%,0.7043179290120336
4,69.8484878540039%,0.6960764485792295
5,63.181819915771484%,0.6301446051167965
6,62.878787994384766%,0.6269086864192537
7,69.09091186523438%,0.6903630296288806
8,63.48484802246094%,0.63277378905855
9,70.0%,0.6992618060471231
10,64.54545593261719%,0.6459702699969663
11,73.18181610107422%,0.7294468601476387
12,69.69696807861328%,0.6959247648902821
13,61.66666793823242%,0.615987460815047
14,67.2727279663086%,0.6706441500657297
15,68.33333587646484%,0.6817170593588835
16,64.8484878540039%,0.6471837395085449
17,66.36363983154297%,0.661138638891698
18,64.69696807861328%,0.6447062392557388
19,66.66666412353516%,0.6643745575892406
20,66.66666412353516%,0.6662958843159065
21,71.21212005615234%,0.7105875214885226
22,79.39393615722656%,0.7933056931944584
23,68.18181610107422%,0.6801496612397614
24,64.24242401123047%,0.6393973101425827
25,66.96969604492188%,0.6679138436646779
26,66.36363983154297%,0.6620487410253817
27,66.96969604492188%,0.6683183335018708
