user,test_acc,auc,precision
7,86.51515197753906%,0.8649509556072404,0.868421052631579
9,93.18181610107422%,0.9313884113661645,0.9252873563218391
12,68.63636016845703%,0.6858630801901102,0.6947674418604651
15,66.51515197753906%,0.6644251188188897,0.6724137931034483
16,65.30303192138672%,0.6504702194357367,0.6458333333333334
20,81.51515197753906%,0.8140357973505916,0.8050139275766016
21,72.1212158203125%,0.7200930326625543,0.7198879551820728
23,70.1515121459961%,0.6982000202244918,0.68
29,69.69696807861328%,0.6952169076751947,0.6910569105691057
35,66.51515197753906%,0.6634138942259076,0.6630434782608695
