user,test_acc,auc,precision,recall
7,87.2727279663086%,0.8723834563656588,0.8724637681159421,0.8826979472140762
9,93.33333587646484%,0.9328546870259885,0.9255014326647565,0.9472140762463344
12,70.75757598876953%,0.7074021640206289,0.7189349112426036,0.7126099706744868
15,65.30303192138672%,0.6526949135402973,0.6647058823529411,0.6627565982404692
16,65.90908813476562%,0.6578521589645061,0.6620111731843575,0.6950146627565983
20,79.09091186523438%,0.7906765092527049,0.7976539589442815,0.7976539589442815
21,68.78787994384766%,0.6877338456871271,0.7002967359050445,0.6920821114369502
23,71.81818389892578%,0.715138032156942,0.6962025316455697,0.8064516129032258
29,68.33333587646484%,0.6817170593588835,0.680327868852459,0.7302052785923754
35,61.51515197753906%,0.6139144503994337,0.6218487394957983,0.6510263929618768
