user,test_acc,auc,precision,recall,f1_score
7,90.0%,0.9000910102133685,0.9080118694362018,0.8973607038123167,0.9026548672566371
9,94.8484878540039%,0.9478208110021236,0.9348441926345609,0.967741935483871,0.9510086455331412
12,74.24242401123047%,0.7416321164930731,0.7435897435897436,0.7653958944281525,0.7543352601156069
15,71.66666412353516%,0.7163009404388715,0.7251461988304093,0.7272727272727273,0.726207906295754
16,68.33333587646484%,0.6824249165739711,0.6875,0.7096774193548387,0.6984126984126984
20,83.33333587646484%,0.8309232480533927,0.8,0.9032258064516129,0.8484848484848486
21,77.42424011230469%,0.7736373748609566,0.7758620689655172,0.7917888563049853,0.783744557329463
23,75.60606384277344%,0.7542218626757002,0.7419354838709677,0.8093841642228738,0.7741935483870966
29,75.1515121459961%,0.7513398725857012,0.7610619469026548,0.7565982404692082,0.7588235294117646
35,70.75757598876953%,0.7049752249974719,0.6917098445595855,0.782991202346041,0.7345254470426409
