2023-03-07 22:15:12,737 - lr:0.001,weight_decay:1e-07,batch_size:20
2023-03-07 22:15:12,737 - FullConnect(
  (linear1): Linear(in_features=39, out_features=40, bias=True)
  (linear2): Linear(in_features=40, out_features=40, bias=True)
  (linear3): Linear(in_features=40, out_features=30, bias=True)
  (linear4): Linear(in_features=30, out_features=30, bias=True)
  (linear5): Linear(in_features=30, out_features=30, bias=True)
  (linear10): Linear(in_features=30, out_features=2, bias=True)
  (relu): ReLU()
)
2023-03-07 22:15:12,737 - This is for user7
2023-03-07 22:15:13,078 - Epoch:0/200,Train Accuracy:58.35820770263672%
2023-03-07 22:15:13,189 - Epoch:1/200,Train Accuracy:62.53731155395508%
2023-03-07 22:15:13,300 - Epoch:2/200,Train Accuracy:60.970149993896484%
2023-03-07 22:15:13,412 - Epoch:3/200,Train Accuracy:60.223880767822266%
2023-03-07 22:15:13,524 - Epoch:4/200,Train Accuracy:63.50746154785156%
2023-03-07 22:15:13,634 - Epoch:5/200,Train Accuracy:62.46268844604492%
2023-03-07 22:15:13,747 - Epoch:6/200,Train Accuracy:65.67163848876953%
2023-03-07 22:15:13,859 - Epoch:7/200,Train Accuracy:66.11940002441406%
2023-03-07 22:15:13,970 - Epoch:8/200,Train Accuracy:65.0%
2023-03-07 22:15:14,081 - Epoch:9/200,Train Accuracy:64.02985382080078%
2023-03-07 22:15:14,213 - Epoch:10/200,Train Accuracy:62.31343460083008%
2023-03-07 22:15:14,335 - Epoch:11/200,Train Accuracy:54.62686538696289%
2023-03-07 22:15:14,454 - Epoch:12/200,Train Accuracy:57.53731155395508%
2023-03-07 22:15:14,575 - Epoch:13/200,Train Accuracy:59.17910385131836%
2023-03-07 22:15:14,695 - Epoch:14/200,Train Accuracy:56.7164192199707%
2023-03-07 22:15:14,830 - Epoch:15/200,Train Accuracy:60.82089614868164%
2023-03-07 22:15:14,959 - Epoch:16/200,Train Accuracy:61.19403076171875%
2023-03-07 22:15:15,073 - Epoch:17/200,Train Accuracy:61.64179229736328%
2023-03-07 22:15:15,190 - Epoch:18/200,Train Accuracy:61.417911529541016%
2023-03-07 22:15:15,320 - Epoch:19/200,Train Accuracy:58.35820770263672%
2023-03-07 22:15:15,436 - Epoch:20/200,Train Accuracy:56.19403076171875%
