2023-04-06 15:40:06,649 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-06 15:40:06,649 - FullConnect(
  (linear1): Linear(in_features=39, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear9): Linear(in_features=40, out_features=40, bias=True)
  (linear10): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-06 15:40:06,650 - This is for user7
2023-04-06 15:40:07,116 - Epoch:0/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:07,378 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:07,648 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:07,977 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:08,254 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:08,508 - Epoch:5/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:08,783 - Epoch:6/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:09,052 - Epoch:7/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:09,353 - Epoch:8/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:09,602 - Epoch:9/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:09,866 - Epoch:10/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:10,135 - Epoch:11/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:10,401 - Epoch:12/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:10,667 - Epoch:13/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:10,912 - Epoch:14/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:11,172 - Epoch:15/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:11,422 - Epoch:16/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:11,676 - Epoch:17/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:11,987 - Epoch:18/300,Train Accuracy:50.82089614868164%
2023-04-06 15:40:12,278 - Epoch:19/300,Train Accuracy:50.970149993896484%
2023-04-06 15:40:12,545 - Epoch:20/300,Train Accuracy:59.62686538696289%
2023-04-06 15:40:12,798 - Epoch:21/300,Train Accuracy:69.92537689208984%
2023-04-06 15:40:13,074 - Epoch:22/300,Train Accuracy:75.52238464355469%
2023-04-06 15:40:13,325 - Epoch:23/300,Train Accuracy:77.3880615234375%
2023-04-06 15:40:13,590 - Epoch:24/300,Train Accuracy:78.7313461303711%
2023-04-06 15:40:13,849 - Epoch:25/300,Train Accuracy:79.32836151123047%
2023-04-06 15:40:14,115 - Epoch:26/300,Train Accuracy:79.02985382080078%
2023-04-06 15:40:14,389 - Epoch:27/300,Train Accuracy:79.85074615478516%
2023-04-06 15:40:14,647 - Epoch:28/300,Train Accuracy:80.07462310791016%
2023-04-06 15:40:14,910 - Epoch:29/300,Train Accuracy:80.0%
2023-04-06 15:40:15,163 - Epoch:30/300,Train Accuracy:80.74626922607422%
2023-04-06 15:40:15,408 - Epoch:31/300,Train Accuracy:81.0447769165039%
2023-04-06 15:40:15,651 - Epoch:32/300,Train Accuracy:80.82089233398438%
2023-04-06 15:40:15,897 - Epoch:33/300,Train Accuracy:81.11940002441406%
2023-04-06 15:40:16,140 - Epoch:34/300,Train Accuracy:81.71641540527344%
2023-04-06 15:40:16,382 - Epoch:35/300,Train Accuracy:81.94029998779297%
2023-04-06 15:40:16,625 - Epoch:36/300,Train Accuracy:82.08955383300781%
2023-04-06 15:40:16,862 - Epoch:37/300,Train Accuracy:82.23880767822266%
2023-04-06 15:40:17,101 - Epoch:38/300,Train Accuracy:82.46268463134766%
2023-04-06 15:40:17,340 - Epoch:39/300,Train Accuracy:82.53731536865234%
2023-04-06 15:40:17,581 - Epoch:40/300,Train Accuracy:83.28358459472656%
2023-04-06 15:40:17,822 - Epoch:41/300,Train Accuracy:82.91044616699219%
2023-04-06 15:40:18,063 - Epoch:42/300,Train Accuracy:83.35820770263672%
2023-04-06 15:40:18,304 - Epoch:43/300,Train Accuracy:83.58209228515625%
2023-04-06 15:40:18,554 - Epoch:44/300,Train Accuracy:83.80596923828125%
2023-04-06 15:40:18,801 - Epoch:45/300,Train Accuracy:83.88059997558594%
2023-04-06 15:40:19,045 - Epoch:46/300,Train Accuracy:84.25373077392578%
2023-04-06 15:40:19,293 - Epoch:47/300,Train Accuracy:84.17910766601562%
2023-04-06 15:40:19,539 - Epoch:48/300,Train Accuracy:84.40298461914062%
2023-04-06 15:40:19,808 - Epoch:49/300,Train Accuracy:84.25373077392578%
2023-04-06 15:40:20,068 - Epoch:50/300,Train Accuracy:84.55223846435547%
2023-04-06 15:40:20,322 - Epoch:51/300,Train Accuracy:84.47761535644531%
2023-04-06 15:40:20,593 - Epoch:52/300,Train Accuracy:84.85074615478516%
2023-04-06 15:40:20,881 - Epoch:53/300,Train Accuracy:84.92537689208984%
2023-04-06 15:40:21,186 - Epoch:54/300,Train Accuracy:85.29850769042969%
2023-04-06 15:40:21,445 - Epoch:55/300,Train Accuracy:85.52238464355469%
2023-04-06 15:40:21,693 - Epoch:56/300,Train Accuracy:85.74626922607422%
2023-04-06 15:40:21,946 - Epoch:57/300,Train Accuracy:86.0447769165039%
2023-04-06 15:40:22,197 - Epoch:58/300,Train Accuracy:85.59701538085938%
2023-04-06 15:40:22,445 - Epoch:59/300,Train Accuracy:86.0447769165039%
2023-04-06 15:40:22,686 - Epoch:60/300,Train Accuracy:86.41790771484375%
2023-04-06 15:40:22,924 - Epoch:61/300,Train Accuracy:86.5671615600586%
2023-04-06 15:40:23,166 - Epoch:62/300,Train Accuracy:86.2686538696289%
2023-04-06 15:40:23,403 - Epoch:63/300,Train Accuracy:86.94029998779297%
2023-04-06 15:40:23,644 - Epoch:64/300,Train Accuracy:86.49253845214844%
2023-04-06 15:40:23,907 - Epoch:65/300,Train Accuracy:87.08955383300781%
2023-04-06 15:40:24,166 - Epoch:66/300,Train Accuracy:87.23880767822266%
2023-04-06 15:40:24,442 - Epoch:67/300,Train Accuracy:87.46268463134766%
2023-04-06 15:40:24,691 - Epoch:68/300,Train Accuracy:87.46268463134766%
2023-04-06 15:40:24,959 - Epoch:69/300,Train Accuracy:87.98507690429688%
2023-04-06 15:40:25,220 - Epoch:70/300,Train Accuracy:88.05970001220703%
2023-04-06 15:40:25,474 - Epoch:71/300,Train Accuracy:87.98507690429688%
2023-04-06 15:40:25,716 - Epoch:72/300,Train Accuracy:88.28358459472656%
2023-04-06 15:40:26,000 - Epoch:73/300,Train Accuracy:88.4328384399414%
2023-04-06 15:40:26,244 - Epoch:74/300,Train Accuracy:88.28358459472656%
2023-04-06 15:40:26,498 - Epoch:75/300,Train Accuracy:88.80596923828125%
2023-04-06 15:40:26,752 - Epoch:76/300,Train Accuracy:88.9552230834961%
2023-04-06 15:40:26,990 - Epoch:77/300,Train Accuracy:89.10447692871094%
2023-04-06 15:40:27,230 - Epoch:78/300,Train Accuracy:89.02985382080078%
2023-04-06 15:40:27,470 - Epoch:79/300,Train Accuracy:88.7313461303711%
2023-04-06 15:40:27,721 - Epoch:80/300,Train Accuracy:88.9552230834961%
2023-04-06 15:40:27,963 - Epoch:81/300,Train Accuracy:89.02985382080078%
2023-04-06 15:40:28,202 - Epoch:82/300,Train Accuracy:89.55223846435547%
2023-04-06 15:40:28,443 - Epoch:83/300,Train Accuracy:89.17910766601562%
2023-04-06 15:40:28,683 - Epoch:84/300,Train Accuracy:89.62686920166016%
2023-04-06 15:40:28,919 - Epoch:85/300,Train Accuracy:89.17910766601562%
2023-04-06 15:40:29,207 - Epoch:86/300,Train Accuracy:89.32836151123047%
2023-04-06 15:40:29,478 - Epoch:87/300,Train Accuracy:89.47761535644531%
2023-04-06 15:40:29,758 - Epoch:88/300,Train Accuracy:89.776123046875%
2023-04-06 15:40:30,018 - Epoch:89/300,Train Accuracy:89.70149230957031%
2023-04-06 15:40:30,259 - Epoch:90/300,Train Accuracy:90.0%
2023-04-06 15:40:30,515 - Epoch:91/300,Train Accuracy:89.32836151123047%
2023-04-06 15:40:30,758 - Epoch:92/300,Train Accuracy:89.92537689208984%
2023-04-06 15:40:30,995 - Epoch:93/300,Train Accuracy:89.62686920166016%
2023-04-06 15:40:31,293 - Epoch:94/300,Train Accuracy:90.223876953125%
