2023-04-08 17:20:33,757 - lr:0.0001,weight_decay:4,batch_size:20
2023-04-08 17:20:33,757 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-08 17:20:33,757 - This is for user12
2023-04-08 17:20:34,212 - Epoch:0/300,Train Accuracy:50.82089614868164%
2023-04-08 17:20:34,392 - Epoch:1/300,Train Accuracy:50.82089614868164%
2023-04-08 17:20:34,571 - Epoch:2/300,Train Accuracy:50.82089614868164%
2023-04-08 17:20:34,751 - Epoch:3/300,Train Accuracy:50.82089614868164%
2023-04-08 17:20:34,933 - Epoch:4/300,Train Accuracy:50.82089614868164%
2023-04-08 17:20:35,114 - Epoch:5/300,Train Accuracy:50.970149993896484%
2023-04-08 17:20:35,294 - Epoch:6/300,Train Accuracy:53.50746154785156%
2023-04-08 17:20:35,473 - Epoch:7/300,Train Accuracy:62.3880615234375%
2023-04-08 17:20:35,650 - Epoch:8/300,Train Accuracy:68.13433074951172%
2023-04-08 17:20:35,827 - Epoch:9/300,Train Accuracy:68.88059997558594%
2023-04-08 17:20:36,013 - Epoch:10/300,Train Accuracy:69.47761535644531%
2023-04-08 17:20:36,273 - Epoch:11/300,Train Accuracy:71.2686538696289%
2023-04-08 17:20:36,521 - Epoch:12/300,Train Accuracy:70.74626922607422%
2023-04-08 17:20:36,787 - Epoch:13/300,Train Accuracy:72.46268463134766%
2023-04-08 17:20:37,049 - Epoch:14/300,Train Accuracy:72.01492309570312%
2023-04-08 17:20:37,278 - Epoch:15/300,Train Accuracy:71.3432846069336%
2023-04-08 17:20:37,450 - Epoch:16/300,Train Accuracy:73.80596923828125%
2023-04-08 17:20:37,623 - Epoch:17/300,Train Accuracy:72.53731536865234%
2023-04-08 17:20:37,795 - Epoch:18/300,Train Accuracy:72.23880767822266%
