2023-04-22 20:00:53,466 - lr:0.0001,weight_decay:0.1,batch_size:20
2023-04-22 20:00:53,466 - FullConnect(
  (linear1): Linear(in_features=39, out_features=64, bias=True)
  (linear2): Linear(in_features=64, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=128, bias=True)
  (linear6): Linear(in_features=128, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=40, out_features=40, bias=True)
  (linear11): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-22 20:00:53,466 - This is for user7
2023-04-22 20:00:53,500 - Epoch:0/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,512 - Epoch:1/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,524 - Epoch:2/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,536 - Epoch:3/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,548 - Epoch:4/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,560 - Epoch:5/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,573 - Epoch:6/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,587 - Epoch:7/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,602 - Epoch:8/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,617 - Epoch:9/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,631 - Epoch:10/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,642 - Epoch:11/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,654 - Epoch:12/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,666 - Epoch:13/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,678 - Epoch:14/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,689 - Epoch:15/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,701 - Epoch:16/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,713 - Epoch:17/300,Train Accuracy:49.25373077392578%
2023-04-22 20:00:53,725 - Epoch:18/300,Train Accuracy:49.25373077392578%
