2023-04-05 21:56:23,729 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-05 21:56:23,729 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=111, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 21:56:23,729 - This is for user7
2023-04-05 21:56:24,070 - Epoch:0/200,Train Accuracy:50.223880767822266%
2023-04-05 21:56:24,208 - Epoch:1/200,Train Accuracy:50.82089614868164%
2023-04-05 21:56:24,393 - Epoch:2/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:24,538 - Epoch:3/200,Train Accuracy:48.80596923828125%
2023-04-05 21:56:24,675 - Epoch:4/200,Train Accuracy:50.74626922607422%
2023-04-05 21:56:24,813 - Epoch:5/200,Train Accuracy:52.3880615234375%
2023-04-05 21:56:24,950 - Epoch:6/200,Train Accuracy:51.86567306518555%
2023-04-05 21:56:25,086 - Epoch:7/200,Train Accuracy:52.08955383300781%
2023-04-05 21:56:25,223 - Epoch:8/200,Train Accuracy:47.68656539916992%
2023-04-05 21:56:25,360 - Epoch:9/200,Train Accuracy:48.73134231567383%
2023-04-05 21:56:25,498 - Epoch:10/200,Train Accuracy:48.955223083496094%
2023-04-05 21:56:25,635 - Epoch:11/200,Train Accuracy:49.776119232177734%
2023-04-05 21:56:25,773 - Epoch:12/200,Train Accuracy:49.25373077392578%
2023-04-05 21:56:25,911 - Epoch:13/200,Train Accuracy:48.73134231567383%
2023-04-05 21:56:26,050 - Epoch:14/200,Train Accuracy:48.73134231567383%
2023-04-05 21:56:26,188 - Epoch:15/200,Train Accuracy:51.343284606933594%
2023-04-05 21:56:26,325 - Epoch:16/200,Train Accuracy:48.80596923828125%
2023-04-05 21:56:26,463 - Epoch:17/200,Train Accuracy:50.82089614868164%
2023-04-05 21:56:26,599 - Epoch:18/200,Train Accuracy:50.597015380859375%
2023-04-05 21:56:26,736 - Epoch:19/200,Train Accuracy:51.11940383911133%
2023-04-05 21:56:26,872 - Epoch:20/200,Train Accuracy:52.238807678222656%
2023-04-05 21:56:27,008 - Epoch:21/200,Train Accuracy:50.74626922607422%
2023-04-05 21:56:27,145 - Epoch:22/200,Train Accuracy:46.11940383911133%
2023-04-05 21:56:27,281 - Epoch:23/200,Train Accuracy:49.029850006103516%
2023-04-05 21:56:27,417 - Epoch:24/200,Train Accuracy:52.91044616699219%
2023-04-05 21:56:27,554 - Epoch:25/200,Train Accuracy:49.17910385131836%
2023-04-05 21:56:27,693 - Epoch:26/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:27,843 - Epoch:27/200,Train Accuracy:52.68656539916992%
2023-04-05 21:56:28,043 - Epoch:28/200,Train Accuracy:52.164180755615234%
2023-04-05 21:56:28,177 - Epoch:29/200,Train Accuracy:49.3283576965332%
2023-04-05 21:56:28,314 - Epoch:30/200,Train Accuracy:50.149253845214844%
2023-04-05 21:56:28,449 - Epoch:31/200,Train Accuracy:48.05970001220703%
2023-04-05 21:56:28,584 - Epoch:32/200,Train Accuracy:51.19403076171875%
2023-04-05 21:56:28,790 - Epoch:33/200,Train Accuracy:48.13432693481445%
2023-04-05 21:56:28,926 - Epoch:34/200,Train Accuracy:50.0%
2023-04-05 21:56:29,062 - Epoch:35/200,Train Accuracy:47.761192321777344%
2023-04-05 21:56:29,199 - Epoch:36/200,Train Accuracy:50.44776153564453%
2023-04-05 21:56:29,335 - Epoch:37/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:29,471 - Epoch:38/200,Train Accuracy:49.62686538696289%
2023-04-05 21:56:29,607 - Epoch:39/200,Train Accuracy:47.98507308959961%
2023-04-05 21:56:29,743 - Epoch:40/200,Train Accuracy:51.343284606933594%
2023-04-05 21:56:29,878 - Epoch:41/200,Train Accuracy:52.31343460083008%
2023-04-05 21:56:30,016 - Epoch:42/200,Train Accuracy:50.89552307128906%
2023-04-05 21:56:30,152 - Epoch:43/200,Train Accuracy:51.044776916503906%
2023-04-05 21:56:30,288 - Epoch:44/200,Train Accuracy:52.01492691040039%
2023-04-05 21:56:30,424 - Epoch:45/200,Train Accuracy:50.74626922607422%
2023-04-05 21:56:30,561 - Epoch:46/200,Train Accuracy:50.89552307128906%
2023-04-05 21:56:30,695 - Epoch:47/200,Train Accuracy:49.47761154174805%
2023-04-05 21:56:30,833 - Epoch:48/200,Train Accuracy:48.43283462524414%
2023-04-05 21:56:30,969 - Epoch:49/200,Train Accuracy:50.0%
2023-04-05 21:56:31,118 - Epoch:50/200,Train Accuracy:49.402984619140625%
2023-04-05 21:56:31,300 - Epoch:51/200,Train Accuracy:49.776119232177734%
2023-04-05 21:56:31,489 - Epoch:52/200,Train Accuracy:51.86567306518555%
2023-04-05 21:56:31,643 - Epoch:53/200,Train Accuracy:51.86567306518555%
2023-04-05 21:56:31,784 - Epoch:54/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:31,946 - Epoch:55/200,Train Accuracy:51.791046142578125%
2023-04-05 21:56:32,085 - Epoch:56/200,Train Accuracy:50.0%
2023-04-05 21:56:32,221 - Epoch:57/200,Train Accuracy:48.656715393066406%
2023-04-05 21:56:32,359 - Epoch:58/200,Train Accuracy:50.149253845214844%
2023-04-05 21:56:32,496 - Epoch:59/200,Train Accuracy:52.08955383300781%
2023-04-05 21:56:32,633 - Epoch:60/200,Train Accuracy:49.55223846435547%
2023-04-05 21:56:32,771 - Epoch:61/200,Train Accuracy:51.94029998779297%
2023-04-05 21:56:32,908 - Epoch:62/200,Train Accuracy:48.2835807800293%
2023-04-05 21:56:33,065 - Epoch:63/200,Train Accuracy:49.25373077392578%
2023-04-05 21:56:33,215 - Epoch:64/200,Train Accuracy:50.6716423034668%
2023-04-05 21:56:33,352 - Epoch:65/200,Train Accuracy:49.47761154174805%
2023-04-05 21:56:33,490 - Epoch:66/200,Train Accuracy:51.94029998779297%
2023-04-05 21:56:33,629 - Epoch:67/200,Train Accuracy:47.835819244384766%
2023-04-05 21:56:33,767 - Epoch:68/200,Train Accuracy:51.044776916503906%
2023-04-05 21:56:33,905 - Epoch:69/200,Train Accuracy:52.761192321777344%
2023-04-05 21:56:34,044 - Epoch:70/200,Train Accuracy:49.25373077392578%
2023-04-05 21:56:34,181 - Epoch:71/200,Train Accuracy:49.25373077392578%
2023-04-05 21:56:34,319 - Epoch:72/200,Train Accuracy:51.044776916503906%
2023-04-05 21:56:34,459 - Epoch:73/200,Train Accuracy:50.37313461303711%
2023-04-05 21:56:34,601 - Epoch:74/200,Train Accuracy:50.37313461303711%
2023-04-05 21:56:34,748 - Epoch:75/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:34,892 - Epoch:76/200,Train Accuracy:49.70149230957031%
2023-04-05 21:56:35,048 - Epoch:77/200,Train Accuracy:50.82089614868164%
2023-04-05 21:56:35,199 - Epoch:78/200,Train Accuracy:50.52238845825195%
2023-04-05 21:56:35,347 - Epoch:79/200,Train Accuracy:48.80596923828125%
