2023-04-05 22:14:10,524 - lr:0.001,weight_decay:0.01,batch_size:20
2023-04-05 22:14:10,524 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(1,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv4): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=150, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 22:14:10,525 - This is for user7
2023-04-05 22:14:10,912 - Epoch:0/50,Train Accuracy:49.3283576965332%
2023-04-05 22:14:11,098 - Epoch:1/50,Train Accuracy:47.91044616699219%
2023-04-05 22:14:11,281 - Epoch:2/50,Train Accuracy:49.17910385131836%
2023-04-05 22:14:11,463 - Epoch:3/50,Train Accuracy:47.91044616699219%
2023-04-05 22:14:11,646 - Epoch:4/50,Train Accuracy:51.7164192199707%
2023-04-05 22:14:11,831 - Epoch:5/50,Train Accuracy:53.13432693481445%
2023-04-05 22:14:12,021 - Epoch:6/50,Train Accuracy:53.582088470458984%
2023-04-05 22:14:12,218 - Epoch:7/50,Train Accuracy:48.208953857421875%
2023-04-05 22:14:12,409 - Epoch:8/50,Train Accuracy:48.80596923828125%
2023-04-05 22:14:12,588 - Epoch:9/50,Train Accuracy:52.3880615234375%
2023-04-05 22:14:12,768 - Epoch:10/50,Train Accuracy:50.29850769042969%
2023-04-05 22:14:12,950 - Epoch:11/50,Train Accuracy:50.07462692260742%
2023-04-05 22:14:13,149 - Epoch:12/50,Train Accuracy:48.582088470458984%
2023-04-05 22:14:13,346 - Epoch:13/50,Train Accuracy:51.417911529541016%
2023-04-05 22:14:13,539 - Epoch:14/50,Train Accuracy:50.223880767822266%
2023-04-05 22:14:13,726 - Epoch:15/50,Train Accuracy:47.164180755615234%
2023-04-05 22:14:13,916 - Epoch:16/50,Train Accuracy:52.46268844604492%
2023-04-05 22:14:14,104 - Epoch:17/50,Train Accuracy:51.26865768432617%
2023-04-05 22:14:14,285 - Epoch:18/50,Train Accuracy:50.44776153564453%
2023-04-05 22:14:14,465 - Epoch:19/50,Train Accuracy:48.73134231567383%
2023-04-05 22:14:14,646 - Epoch:20/50,Train Accuracy:49.402984619140625%
2023-04-05 22:14:14,829 - Epoch:21/50,Train Accuracy:51.11940383911133%
2023-04-05 22:14:15,010 - Epoch:22/50,Train Accuracy:48.955223083496094%
2023-04-05 22:14:15,211 - Epoch:23/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:15,394 - Epoch:24/50,Train Accuracy:51.791046142578125%
2023-04-05 22:14:15,580 - Epoch:25/50,Train Accuracy:50.37313461303711%
2023-04-05 22:14:15,761 - Epoch:26/50,Train Accuracy:51.417911529541016%
2023-04-05 22:14:15,944 - Epoch:27/50,Train Accuracy:51.044776916503906%
2023-04-05 22:14:16,130 - Epoch:28/50,Train Accuracy:49.402984619140625%
2023-04-05 22:14:16,315 - Epoch:29/50,Train Accuracy:49.70149230957031%
2023-04-05 22:14:16,500 - Epoch:30/50,Train Accuracy:49.850746154785156%
2023-04-05 22:14:16,688 - Epoch:31/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:16,874 - Epoch:32/50,Train Accuracy:49.70149230957031%
2023-04-05 22:14:17,066 - Epoch:33/50,Train Accuracy:51.044776916503906%
2023-04-05 22:14:17,262 - Epoch:34/50,Train Accuracy:51.343284606933594%
2023-04-05 22:14:17,465 - Epoch:35/50,Train Accuracy:51.19403076171875%
2023-04-05 22:14:17,674 - Epoch:36/50,Train Accuracy:50.52238845825195%
2023-04-05 22:14:17,882 - Epoch:37/50,Train Accuracy:50.223880767822266%
2023-04-05 22:14:18,091 - Epoch:38/50,Train Accuracy:51.26865768432617%
2023-04-05 22:14:18,303 - Epoch:39/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:18,519 - Epoch:40/50,Train Accuracy:50.597015380859375%
2023-04-05 22:14:18,743 - Epoch:41/50,Train Accuracy:49.92537307739258%
2023-04-05 22:14:18,969 - Epoch:42/50,Train Accuracy:50.597015380859375%
2023-04-05 22:14:19,194 - Epoch:43/50,Train Accuracy:51.417911529541016%
2023-04-05 22:14:19,413 - Epoch:44/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:19,636 - Epoch:45/50,Train Accuracy:50.37313461303711%
2023-04-05 22:14:19,860 - Epoch:46/50,Train Accuracy:51.11940383911133%
2023-04-05 22:14:20,086 - Epoch:47/50,Train Accuracy:51.11940383911133%
2023-04-05 22:14:20,318 - Epoch:48/50,Train Accuracy:50.37313461303711%
2023-04-05 22:14:20,543 - Epoch:49/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:20,778 - 
Test set: Avg. loss: 0.1550, Accuracy: 326/660 (49.39%)

2023-04-05 22:14:20,781 - fpr:[0.         0.02194357 1.        ],tpr:[0.         0.04105572 1.        ],threshold:[2 1 0],auc:0.5095560724036808
2023-04-05 22:14:20,781 - This is for user9
2023-04-05 22:14:21,223 - Epoch:0/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:21,469 - Epoch:1/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:21,718 - Epoch:2/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:21,977 - Epoch:3/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:22,232 - Epoch:4/50,Train Accuracy:50.29850769042969%
2023-04-05 22:14:22,478 - Epoch:5/50,Train Accuracy:50.29850769042969%
2023-04-05 22:14:22,719 - Epoch:6/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:22,958 - Epoch:7/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:23,215 - Epoch:8/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:23,453 - Epoch:9/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:23,691 - Epoch:10/50,Train Accuracy:50.970149993896484%
2023-04-05 22:14:23,932 - Epoch:11/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:24,170 - Epoch:12/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:24,409 - Epoch:13/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:24,729 - Epoch:14/50,Train Accuracy:51.044776916503906%
2023-04-05 22:14:24,970 - Epoch:15/50,Train Accuracy:51.19403076171875%
2023-04-05 22:14:25,219 - Epoch:16/50,Train Accuracy:51.19403076171875%
2023-04-05 22:14:25,507 - Epoch:17/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:25,754 - Epoch:18/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:25,998 - Epoch:19/50,Train Accuracy:50.52238845825195%
2023-04-05 22:14:26,247 - Epoch:20/50,Train Accuracy:50.37313461303711%
2023-04-05 22:14:26,489 - Epoch:21/50,Train Accuracy:50.6716423034668%
2023-04-05 22:14:26,735 - Epoch:22/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:26,981 - Epoch:23/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:27,235 - Epoch:24/50,Train Accuracy:50.89552307128906%
