2023-04-05 22:16:22,193 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-05 22:16:22,193 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(1,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv4): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=150, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 22:16:22,193 - This is for user7
2023-04-05 22:16:22,588 - Epoch:0/50,Train Accuracy:49.10447692871094%
2023-04-05 22:16:22,775 - Epoch:1/50,Train Accuracy:50.223880767822266%
2023-04-05 22:16:22,961 - Epoch:2/50,Train Accuracy:49.17910385131836%
2023-04-05 22:16:23,148 - Epoch:3/50,Train Accuracy:50.52238845825195%
2023-04-05 22:16:23,334 - Epoch:4/50,Train Accuracy:50.29850769042969%
2023-04-05 22:16:23,534 - Epoch:5/50,Train Accuracy:52.164180755615234%
2023-04-05 22:16:23,720 - Epoch:6/50,Train Accuracy:49.402984619140625%
2023-04-05 22:16:23,908 - Epoch:7/50,Train Accuracy:49.17910385131836%
2023-04-05 22:16:24,093 - Epoch:8/50,Train Accuracy:50.149253845214844%
2023-04-05 22:16:24,281 - Epoch:9/50,Train Accuracy:51.64179229736328%
2023-04-05 22:16:24,468 - Epoch:10/50,Train Accuracy:49.10447692871094%
2023-04-05 22:16:24,658 - Epoch:11/50,Train Accuracy:49.17910385131836%
2023-04-05 22:16:24,848 - Epoch:12/50,Train Accuracy:49.10447692871094%
2023-04-05 22:16:25,034 - Epoch:13/50,Train Accuracy:49.92537307739258%
2023-04-05 22:16:25,221 - Epoch:14/50,Train Accuracy:50.89552307128906%
2023-04-05 22:16:25,406 - Epoch:15/50,Train Accuracy:52.08955383300781%
2023-04-05 22:16:25,592 - Epoch:16/50,Train Accuracy:50.149253845214844%
2023-04-05 22:16:25,777 - Epoch:17/50,Train Accuracy:50.44776153564453%
2023-04-05 22:16:25,963 - Epoch:18/50,Train Accuracy:52.761192321777344%
2023-04-05 22:16:26,148 - Epoch:19/50,Train Accuracy:51.49253845214844%
2023-04-05 22:16:26,333 - Epoch:20/50,Train Accuracy:51.94029998779297%
2023-04-05 22:16:26,517 - Epoch:21/50,Train Accuracy:52.08955383300781%
2023-04-05 22:16:26,703 - Epoch:22/50,Train Accuracy:51.49253845214844%
2023-04-05 22:16:26,889 - Epoch:23/50,Train Accuracy:52.08955383300781%
2023-04-05 22:16:27,073 - Epoch:24/50,Train Accuracy:49.850746154785156%
2023-04-05 22:16:27,256 - Epoch:25/50,Train Accuracy:47.53731155395508%
2023-04-05 22:16:27,440 - Epoch:26/50,Train Accuracy:47.31343460083008%
2023-04-05 22:16:27,625 - Epoch:27/50,Train Accuracy:48.88059616088867%
2023-04-05 22:16:27,810 - Epoch:28/50,Train Accuracy:49.62686538696289%
2023-04-05 22:16:27,994 - Epoch:29/50,Train Accuracy:49.25373077392578%
2023-04-05 22:16:28,185 - Epoch:30/50,Train Accuracy:49.25373077392578%
2023-04-05 22:16:28,368 - Epoch:31/50,Train Accuracy:50.37313461303711%
2023-04-05 22:16:28,553 - Epoch:32/50,Train Accuracy:50.6716423034668%
2023-04-05 22:16:28,739 - Epoch:33/50,Train Accuracy:51.64179229736328%
2023-04-05 22:16:28,923 - Epoch:34/50,Train Accuracy:48.50746154785156%
2023-04-05 22:16:29,108 - Epoch:35/50,Train Accuracy:48.582088470458984%
2023-04-05 22:16:29,293 - Epoch:36/50,Train Accuracy:50.29850769042969%
2023-04-05 22:16:29,478 - Epoch:37/50,Train Accuracy:48.955223083496094%
2023-04-05 22:16:29,657 - Epoch:38/50,Train Accuracy:51.64179229736328%
2023-04-05 22:16:29,836 - Epoch:39/50,Train Accuracy:48.35820770263672%
2023-04-05 22:16:30,014 - Epoch:40/50,Train Accuracy:51.64179229736328%
2023-04-05 22:16:30,195 - Epoch:41/50,Train Accuracy:48.80596923828125%
2023-04-05 22:16:30,373 - Epoch:42/50,Train Accuracy:49.402984619140625%
2023-04-05 22:16:30,554 - Epoch:43/50,Train Accuracy:50.74626922607422%
2023-04-05 22:16:30,734 - Epoch:44/50,Train Accuracy:49.3283576965332%
2023-04-05 22:16:30,913 - Epoch:45/50,Train Accuracy:52.238807678222656%
2023-04-05 22:16:31,092 - Epoch:46/50,Train Accuracy:51.56716537475586%
2023-04-05 22:16:31,270 - Epoch:47/50,Train Accuracy:51.11940383911133%
2023-04-05 22:16:31,449 - Epoch:48/50,Train Accuracy:47.761192321777344%
2023-04-05 22:16:31,628 - Epoch:49/50,Train Accuracy:51.343284606933594%
2023-04-05 22:16:31,860 - 
Test set: Avg. loss: 1542.5065, Accuracy: 332/660 (50.30%)

2023-04-05 22:16:31,864 - fpr:[0.         0.56426332 1.        ],tpr:[0.        0.5659824 1.       ],threshold:[2 1 0],auc:0.5008595409040348
2023-04-05 22:16:31,864 - This is for user9
2023-04-05 22:16:32,245 - Epoch:0/50,Train Accuracy:50.89552307128906%
2023-04-05 22:16:32,427 - Epoch:1/50,Train Accuracy:49.10447692871094%
2023-04-05 22:16:32,607 - Epoch:2/50,Train Accuracy:48.13432693481445%
2023-04-05 22:16:32,786 - Epoch:3/50,Train Accuracy:50.597015380859375%
2023-04-05 22:16:32,983 - Epoch:4/50,Train Accuracy:50.597015380859375%
2023-04-05 22:16:33,163 - Epoch:5/50,Train Accuracy:51.26865768432617%
2023-04-05 22:16:33,343 - Epoch:6/50,Train Accuracy:52.6119384765625%
2023-04-05 22:16:33,524 - Epoch:7/50,Train Accuracy:47.46268844604492%
2023-04-05 22:16:33,703 - Epoch:8/50,Train Accuracy:50.82089614868164%
2023-04-05 22:16:33,882 - Epoch:9/50,Train Accuracy:51.11940383911133%
2023-04-05 22:16:34,063 - Epoch:10/50,Train Accuracy:48.955223083496094%
2023-04-05 22:16:34,246 - Epoch:11/50,Train Accuracy:47.6119384765625%
2023-04-05 22:16:34,429 - Epoch:12/50,Train Accuracy:50.223880767822266%
2023-04-05 22:16:34,613 - Epoch:13/50,Train Accuracy:49.47761154174805%
2023-04-05 22:16:34,797 - Epoch:14/50,Train Accuracy:51.49253845214844%
2023-04-05 22:16:34,981 - Epoch:15/50,Train Accuracy:51.19403076171875%
2023-04-05 22:16:35,165 - Epoch:16/50,Train Accuracy:51.343284606933594%
2023-04-05 22:16:35,347 - Epoch:17/50,Train Accuracy:49.47761154174805%
2023-04-05 22:16:35,531 - Epoch:18/50,Train Accuracy:52.53731155395508%
2023-04-05 22:16:35,714 - Epoch:19/50,Train Accuracy:51.26865768432617%
2023-04-05 22:16:35,898 - Epoch:20/50,Train Accuracy:52.46268844604492%
2023-04-05 22:16:36,081 - Epoch:21/50,Train Accuracy:53.2835807800293%
2023-04-05 22:16:36,264 - Epoch:22/50,Train Accuracy:51.19403076171875%
2023-04-05 22:16:36,447 - Epoch:23/50,Train Accuracy:50.223880767822266%
2023-04-05 22:16:36,631 - Epoch:24/50,Train Accuracy:52.08955383300781%
