2023-04-17 17:13:44,625 - lr:0.01,weight_decay:0.01,batch_size:20
2023-04-17 17:13:44,625 - CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (relu): ReLU(inplace=True)
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (gmp): MaxPool1d(kernel_size=1, stride=1, padding=0, dilation=1, ceil_mode=False)
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (fc1): Linear(in_features=36, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=2, bias=True)
)
2023-04-17 17:13:44,625 - This is for user7
2023-04-17 17:13:44,937 - Epoch:0/100,Train Accuracy:49.776119232177734%
2023-04-17 17:13:45,065 - Epoch:1/100,Train Accuracy:49.55223846435547%
2023-04-17 17:13:45,176 - Epoch:2/100,Train Accuracy:48.656715393066406%
2023-04-17 17:13:45,286 - Epoch:3/100,Train Accuracy:49.25373077392578%
2023-04-17 17:13:45,398 - Epoch:4/100,Train Accuracy:50.37313461303711%
2023-04-17 17:13:45,507 - Epoch:5/100,Train Accuracy:49.029850006103516%
2023-04-17 17:13:45,616 - Epoch:6/100,Train Accuracy:49.70149230957031%
2023-04-17 17:13:45,725 - Epoch:7/100,Train Accuracy:48.955223083496094%
2023-04-17 17:13:45,834 - Epoch:8/100,Train Accuracy:51.044776916503906%
2023-04-17 17:13:45,944 - Epoch:9/100,Train Accuracy:49.62686538696289%
2023-04-17 17:13:46,055 - Epoch:10/100,Train Accuracy:50.970149993896484%
2023-04-17 17:13:46,164 - Epoch:11/100,Train Accuracy:50.29850769042969%
2023-04-17 17:13:46,273 - Epoch:12/100,Train Accuracy:50.970149993896484%
2023-04-17 17:13:46,385 - Epoch:13/100,Train Accuracy:50.07462692260742%
2023-04-17 17:13:46,495 - Epoch:14/100,Train Accuracy:49.17910385131836%
2023-04-17 17:13:46,605 - Epoch:15/100,Train Accuracy:51.417911529541016%
