2023-04-16 18:12:11,839 - lr:0.001,weight_decay:1e-06,batch_size:40
2023-04-16 18:12:11,839 - FullConnect(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=40, bias=True)
  (linear7): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-16 18:12:11,839 - This is for user0
2023-04-16 18:12:24,962 - Epoch:0/100,Train Accuracy:58.3399772644043%
2023-04-16 18:12:29,662 - Epoch:1/100,Train Accuracy:59.6834602355957%
2023-04-16 18:12:34,004 - Epoch:2/100,Train Accuracy:60.44620895385742%
2023-04-16 18:12:38,373 - Epoch:3/100,Train Accuracy:61.12401580810547%
2023-04-16 18:12:43,474 - Epoch:4/100,Train Accuracy:62.15026092529297%
2023-04-16 18:12:49,626 - Epoch:5/100,Train Accuracy:62.78646469116211%
2023-04-16 18:12:55,989 - Epoch:6/100,Train Accuracy:63.33772659301758%
2023-04-16 18:13:02,623 - Epoch:7/100,Train Accuracy:63.89591979980469%
2023-04-16 18:13:09,359 - Epoch:8/100,Train Accuracy:64.6083984375%
2023-04-16 18:13:16,094 - Epoch:9/100,Train Accuracy:65.24980163574219%
2023-04-16 18:13:22,878 - Epoch:10/100,Train Accuracy:65.91720581054688%
2023-04-16 18:13:29,626 - Epoch:11/100,Train Accuracy:66.52394104003906%
2023-04-16 18:13:36,315 - Epoch:12/100,Train Accuracy:66.95732116699219%
2023-04-16 18:13:43,042 - Epoch:13/100,Train Accuracy:67.7148666381836%
2023-04-16 18:13:49,724 - Epoch:14/100,Train Accuracy:68.35453796386719%
2023-04-16 18:13:56,434 - Epoch:15/100,Train Accuracy:69.09822082519531%
2023-04-16 18:14:03,090 - Epoch:16/100,Train Accuracy:69.60961151123047%
2023-04-16 18:14:09,796 - Epoch:17/100,Train Accuracy:70.54917907714844%
2023-04-16 18:14:16,593 - Epoch:18/100,Train Accuracy:71.24432373046875%
2023-04-16 18:14:23,171 - Epoch:19/100,Train Accuracy:71.87705993652344%
2023-04-16 18:14:29,709 - Epoch:20/100,Train Accuracy:72.35377502441406%
2023-04-16 18:14:36,329 - Epoch:21/100,Train Accuracy:73.1789321899414%
2023-04-16 18:14:42,964 - Epoch:22/100,Train Accuracy:73.66605377197266%
2023-04-16 18:14:49,612 - Epoch:23/100,Train Accuracy:74.46173858642578%
2023-04-16 18:14:56,196 - Epoch:24/100,Train Accuracy:75.11007690429688%
2023-04-16 18:15:02,813 - Epoch:25/100,Train Accuracy:75.43077850341797%
2023-04-16 18:15:09,338 - Epoch:26/100,Train Accuracy:76.12938690185547%
2023-04-16 18:15:15,813 - Epoch:27/100,Train Accuracy:76.63558197021484%
2023-04-16 18:15:22,240 - Epoch:28/100,Train Accuracy:76.97361755371094%
2023-04-16 18:15:28,675 - Epoch:29/100,Train Accuracy:77.62715148925781%
2023-04-16 18:15:35,011 - Epoch:30/100,Train Accuracy:78.06746673583984%
2023-04-16 18:15:41,629 - Epoch:31/100,Train Accuracy:78.33616638183594%
2023-04-16 18:15:48,118 - Epoch:32/100,Train Accuracy:79.07291412353516%
2023-04-16 18:15:54,611 - Epoch:33/100,Train Accuracy:79.2185287475586%
2023-04-16 18:16:01,116 - Epoch:34/100,Train Accuracy:79.92927551269531%
2023-04-16 18:16:07,461 - Epoch:35/100,Train Accuracy:80.36785125732422%
2023-04-16 18:16:13,746 - Epoch:36/100,Train Accuracy:80.54987335205078%
2023-04-16 18:16:20,387 - Epoch:37/100,Train Accuracy:80.89657592773438%
2023-04-16 18:16:26,704 - Epoch:38/100,Train Accuracy:81.17914581298828%
2023-04-16 18:16:33,125 - Epoch:39/100,Train Accuracy:81.76160430908203%
2023-04-16 18:16:39,474 - Epoch:40/100,Train Accuracy:82.0181655883789%
2023-04-16 18:16:45,757 - Epoch:41/100,Train Accuracy:82.37527465820312%
2023-04-16 18:16:51,985 - Epoch:42/100,Train Accuracy:82.61276245117188%
2023-04-16 18:16:58,251 - Epoch:43/100,Train Accuracy:82.9438705444336%
2023-04-16 18:17:04,733 - Epoch:44/100,Train Accuracy:83.49859619140625%
2023-04-16 18:17:10,998 - Epoch:45/100,Train Accuracy:83.54367065429688%
2023-04-16 18:17:17,293 - Epoch:46/100,Train Accuracy:83.91291046142578%
2023-04-16 18:17:24,041 - Epoch:47/100,Train Accuracy:84.08972930908203%
2023-04-16 18:17:30,324 - Epoch:48/100,Train Accuracy:84.40349578857422%
2023-04-16 18:17:36,623 - Epoch:49/100,Train Accuracy:84.684326171875%
2023-04-16 18:17:42,826 - Epoch:50/100,Train Accuracy:84.93048858642578%
2023-04-16 18:17:49,056 - Epoch:51/100,Train Accuracy:85.3673324584961%
2023-04-16 18:17:55,350 - Epoch:52/100,Train Accuracy:85.56148529052734%
2023-04-16 18:18:01,599 - Epoch:53/100,Train Accuracy:85.77297973632812%
2023-04-16 18:18:07,933 - Epoch:54/100,Train Accuracy:86.0312728881836%
2023-04-16 18:18:14,211 - Epoch:55/100,Train Accuracy:85.99140167236328%
2023-04-16 18:18:20,455 - Epoch:56/100,Train Accuracy:86.45771789550781%
2023-04-16 18:18:26,634 - Epoch:57/100,Train Accuracy:86.59466552734375%
2023-04-16 18:18:32,857 - Epoch:58/100,Train Accuracy:86.83562469482422%
2023-04-16 18:18:39,124 - Epoch:59/100,Train Accuracy:86.98644256591797%
2023-04-16 18:18:45,306 - Epoch:60/100,Train Accuracy:87.25340270996094%
2023-04-16 18:18:51,478 - Epoch:61/100,Train Accuracy:87.68505096435547%
2023-04-16 18:18:57,715 - Epoch:62/100,Train Accuracy:87.61571502685547%
2023-04-16 18:19:03,956 - Epoch:63/100,Train Accuracy:87.7474594116211%
