2023-04-19 11:44:13,291 - lr:0.0001,weight_decay:0.01,batch_size:40
2023-04-19 11:44:13,291 - FullConnect(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 11:44:13,292 - This is for user0
2023-04-19 11:44:27,312 - Epoch:0/100,Train Accuracy:56.509376525878906%
2023-04-19 11:44:32,062 - Epoch:1/100,Train Accuracy:58.678016662597656%
2023-04-19 11:44:36,715 - Epoch:2/100,Train Accuracy:59.31248474121094%
2023-04-19 11:44:41,388 - Epoch:3/100,Train Accuracy:59.07499313354492%
2023-04-19 11:44:46,351 - Epoch:4/100,Train Accuracy:59.3384895324707%
2023-04-19 11:44:51,882 - Epoch:5/100,Train Accuracy:59.3488883972168%
2023-04-19 11:44:57,189 - Epoch:6/100,Train Accuracy:59.53957748413086%
2023-04-19 11:45:03,243 - Epoch:7/100,Train Accuracy:59.77013397216797%
2023-04-19 11:45:09,145 - Epoch:8/100,Train Accuracy:59.66092300415039%
2023-04-19 11:45:14,534 - Epoch:9/100,Train Accuracy:59.636653900146484%
2023-04-19 11:45:20,603 - Epoch:10/100,Train Accuracy:59.69732666015625%
2023-04-19 11:45:25,809 - Epoch:11/100,Train Accuracy:59.79267120361328%
2023-04-19 11:45:30,992 - Epoch:12/100,Train Accuracy:59.738929748535156%
2023-04-19 11:45:36,223 - Epoch:13/100,Train Accuracy:59.97468948364258%
2023-04-19 11:45:41,456 - Epoch:14/100,Train Accuracy:59.7094612121582%
2023-04-19 11:45:46,683 - Epoch:15/100,Train Accuracy:59.881080627441406%
2023-04-19 11:45:51,968 - Epoch:16/100,Train Accuracy:59.730262756347656%
2023-04-19 11:45:57,283 - Epoch:17/100,Train Accuracy:59.626251220703125%
2023-04-19 11:46:02,633 - Epoch:18/100,Train Accuracy:59.36102294921875%
2023-04-19 11:46:08,014 - Epoch:19/100,Train Accuracy:60.113372802734375%
2023-04-19 11:46:13,370 - Epoch:20/100,Train Accuracy:59.889747619628906%
2023-04-19 11:46:18,751 - Epoch:21/100,Train Accuracy:59.759735107421875%
2023-04-19 11:46:24,097 - Epoch:22/100,Train Accuracy:60.068302154541016%
2023-04-19 11:46:29,453 - Epoch:23/100,Train Accuracy:59.76493453979492%
2023-04-19 11:46:34,813 - Epoch:24/100,Train Accuracy:59.16513442993164%
2023-04-19 11:46:40,369 - Epoch:25/100,Train Accuracy:59.50837326049805%
2023-04-19 11:46:45,729 - Epoch:26/100,Train Accuracy:59.962554931640625%
2023-04-19 11:46:51,063 - Epoch:27/100,Train Accuracy:59.82560729980469%
2023-04-19 11:46:56,380 - Epoch:28/100,Train Accuracy:59.72853088378906%
2023-04-19 11:47:01,772 - Epoch:29/100,Train Accuracy:59.88454818725586%
2023-04-19 11:47:07,218 - Epoch:30/100,Train Accuracy:59.64012145996094%
2023-04-19 11:47:12,616 - Epoch:31/100,Train Accuracy:59.113128662109375%
2023-04-19 11:47:18,009 - Epoch:32/100,Train Accuracy:59.8741455078125%
2023-04-19 11:47:23,392 - Epoch:33/100,Train Accuracy:58.88430404663086%
2023-04-19 11:47:28,766 - Epoch:34/100,Train Accuracy:59.58464813232422%
2023-04-19 11:47:34,181 - Epoch:35/100,Train Accuracy:59.75106430053711%
2023-04-19 11:47:39,652 - Epoch:36/100,Train Accuracy:59.64185333251953%
2023-04-19 11:47:45,174 - Epoch:37/100,Train Accuracy:59.73373031616211%
2023-04-19 11:47:50,729 - Epoch:38/100,Train Accuracy:59.900150299072266%
2023-04-19 11:47:56,253 - Epoch:39/100,Train Accuracy:59.79960632324219%
2023-04-19 11:48:01,792 - Epoch:40/100,Train Accuracy:59.68865966796875%
2023-04-19 11:48:08,137 - Epoch:41/100,Train Accuracy:59.93135070800781%
2023-04-19 11:48:14,578 - Epoch:42/100,Train Accuracy:59.29861831665039%
2023-04-19 11:48:20,513 - Epoch:43/100,Train Accuracy:59.29688262939453%
2023-04-19 11:48:26,894 - Epoch:44/100,Train Accuracy:58.9779167175293%
2023-04-19 11:48:32,694 - Epoch:45/100,Train Accuracy:59.423431396484375%
2023-04-19 11:48:38,227 - Epoch:46/100,Train Accuracy:59.86201095581055%
2023-04-19 11:48:43,771 - Epoch:47/100,Train Accuracy:59.695594787597656%
2023-04-19 11:48:49,332 - Epoch:48/100,Train Accuracy:59.52570724487305%
2023-04-19 11:48:54,896 - Epoch:49/100,Train Accuracy:60.177513122558594%
2023-04-19 11:49:00,512 - Epoch:50/100,Train Accuracy:60.049232482910156%
2023-04-19 11:49:06,112 - Epoch:51/100,Train Accuracy:59.477169036865234%
2023-04-19 11:49:11,742 - Epoch:52/100,Train Accuracy:59.62278366088867%
2023-04-19 11:49:17,387 - Epoch:53/100,Train Accuracy:59.449432373046875%
2023-04-19 11:49:23,032 - Epoch:54/100,Train Accuracy:59.785736083984375%
2023-04-19 11:49:28,681 - Epoch:55/100,Train Accuracy:60.0284309387207%
2023-04-19 11:49:34,389 - Epoch:56/100,Train Accuracy:59.51704025268555%
2023-04-19 11:49:40,328 - Epoch:57/100,Train Accuracy:59.310752868652344%
2023-04-19 11:49:46,164 - Epoch:58/100,Train Accuracy:59.91401672363281%
2023-04-19 11:49:52,015 - Epoch:59/100,Train Accuracy:60.17924499511719%
2023-04-19 11:49:57,899 - Epoch:60/100,Train Accuracy:60.34219741821289%
2023-04-19 11:50:03,927 - Epoch:61/100,Train Accuracy:59.30381774902344%
2023-04-19 11:50:09,838 - Epoch:62/100,Train Accuracy:59.22060775756836%
2023-04-19 11:50:15,699 - Epoch:63/100,Train Accuracy:59.55864334106445%
