2023-04-20 21:52:34,926 - lr:1e-05,weight_decay:0.01,batch_size:40
2023-04-20 21:52:34,926 - CZHNet(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-20 21:52:34,926 - This is for user0
2023-04-20 21:52:49,287 - Epoch:0/100,Train Accuracy:50.0%
2023-04-20 21:52:53,737 - Epoch:1/100,Train Accuracy:50.0%
2023-04-20 21:52:58,235 - Epoch:2/100,Train Accuracy:50.0%
2023-04-20 21:53:02,661 - Epoch:3/100,Train Accuracy:50.0%
2023-04-20 21:53:07,478 - Epoch:4/100,Train Accuracy:50.0%
2023-04-20 21:53:12,359 - Epoch:5/100,Train Accuracy:50.0%
2023-04-20 21:53:17,536 - Epoch:6/100,Train Accuracy:50.0%
2023-04-20 21:53:22,698 - Epoch:7/100,Train Accuracy:50.0%
2023-04-20 21:53:27,103 - Epoch:8/100,Train Accuracy:50.0%
2023-04-20 21:53:31,500 - Epoch:9/100,Train Accuracy:50.0%
2023-04-20 21:53:35,852 - Epoch:10/100,Train Accuracy:50.0%
2023-04-20 21:53:40,261 - Epoch:11/100,Train Accuracy:50.0%
2023-04-20 21:53:44,689 - Epoch:12/100,Train Accuracy:50.0%
2023-04-20 21:53:49,177 - Epoch:13/100,Train Accuracy:50.0%
2023-04-20 21:53:53,586 - Epoch:14/100,Train Accuracy:50.0%
2023-04-20 21:53:57,984 - Epoch:15/100,Train Accuracy:50.0%
2023-04-20 21:54:02,501 - Epoch:16/100,Train Accuracy:50.0%
2023-04-20 21:54:06,922 - Epoch:17/100,Train Accuracy:50.0%
2023-04-20 21:54:11,351 - Epoch:18/100,Train Accuracy:50.0%
2023-04-20 21:54:15,841 - Epoch:19/100,Train Accuracy:50.0%
2023-04-20 21:54:20,200 - Epoch:20/100,Train Accuracy:50.0%
2023-04-20 21:54:24,533 - Epoch:21/100,Train Accuracy:50.0%
2023-04-20 21:54:28,865 - Epoch:22/100,Train Accuracy:50.0%
2023-04-20 21:54:33,170 - Epoch:23/100,Train Accuracy:50.0%
2023-04-20 21:54:37,529 - Epoch:24/100,Train Accuracy:50.0%
2023-04-20 21:54:42,698 - Epoch:25/100,Train Accuracy:50.0%
2023-04-20 21:54:47,158 - Epoch:26/100,Train Accuracy:50.0%
2023-04-20 21:54:51,533 - Epoch:27/100,Train Accuracy:50.0%
2023-04-20 21:54:55,976 - Epoch:28/100,Train Accuracy:50.0%
2023-04-20 21:55:00,411 - Epoch:29/100,Train Accuracy:50.0%
2023-04-20 21:55:04,795 - Epoch:30/100,Train Accuracy:50.0%
2023-04-20 21:55:09,191 - Epoch:31/100,Train Accuracy:50.0%
2023-04-20 21:55:13,671 - Epoch:32/100,Train Accuracy:50.0%
2023-04-20 21:55:18,386 - Epoch:33/100,Train Accuracy:50.0%
2023-04-20 21:55:23,043 - Epoch:34/100,Train Accuracy:50.0%
2023-04-20 21:55:27,995 - Epoch:35/100,Train Accuracy:50.0%
2023-04-20 21:55:33,153 - Epoch:36/100,Train Accuracy:50.0%
2023-04-20 21:55:37,759 - Epoch:37/100,Train Accuracy:50.0%
2023-04-20 21:55:42,083 - Epoch:38/100,Train Accuracy:50.0%
2023-04-20 21:55:46,481 - Epoch:39/100,Train Accuracy:50.0%
2023-04-20 21:55:50,948 - Epoch:40/100,Train Accuracy:50.0%
2023-04-20 21:55:55,425 - Epoch:41/100,Train Accuracy:50.0%
2023-04-20 21:55:59,913 - Epoch:42/100,Train Accuracy:50.0%
2023-04-20 21:56:04,395 - Epoch:43/100,Train Accuracy:50.0%
2023-04-20 21:56:08,879 - Epoch:44/100,Train Accuracy:50.0%
2023-04-20 21:56:13,343 - Epoch:45/100,Train Accuracy:50.0%
2023-04-20 21:56:17,829 - Epoch:46/100,Train Accuracy:50.0%
2023-04-20 21:56:22,278 - Epoch:47/100,Train Accuracy:50.0%
2023-04-20 21:56:26,786 - Epoch:48/100,Train Accuracy:50.0%
2023-04-20 21:56:31,244 - Epoch:49/100,Train Accuracy:50.0%
2023-04-20 21:56:35,690 - Epoch:50/100,Train Accuracy:50.0%
2023-04-20 21:56:40,161 - Epoch:51/100,Train Accuracy:50.0%
2023-04-20 21:56:44,634 - Epoch:52/100,Train Accuracy:50.0%
2023-04-20 21:56:49,154 - Epoch:53/100,Train Accuracy:50.0%
2023-04-20 21:56:53,616 - Epoch:54/100,Train Accuracy:50.0%
2023-04-20 21:56:58,094 - Epoch:55/100,Train Accuracy:50.0%
2023-04-20 21:57:02,594 - Epoch:56/100,Train Accuracy:50.0%
2023-04-20 21:57:07,067 - Epoch:57/100,Train Accuracy:50.0%
2023-04-20 21:57:11,542 - Epoch:58/100,Train Accuracy:50.0%
2023-04-20 21:57:16,018 - Epoch:59/100,Train Accuracy:50.0%
2023-04-20 21:57:20,399 - Epoch:60/100,Train Accuracy:50.0%
2023-04-20 21:57:24,879 - Epoch:61/100,Train Accuracy:50.0%
2023-04-20 21:57:29,296 - Epoch:62/100,Train Accuracy:50.0%
2023-04-20 21:57:33,712 - Epoch:63/100,Train Accuracy:50.0%
2023-04-20 21:57:38,082 - Epoch:64/100,Train Accuracy:50.0%
2023-04-20 21:57:42,500 - Epoch:65/100,Train Accuracy:50.0%
2023-04-20 21:57:46,852 - Epoch:66/100,Train Accuracy:50.0%
2023-04-20 21:57:51,209 - Epoch:67/100,Train Accuracy:50.0%
2023-04-20 21:57:55,511 - Epoch:68/100,Train Accuracy:50.0%
2023-04-20 21:57:59,884 - Epoch:69/100,Train Accuracy:50.0%
