2023-04-21 15:03:52,122 - lr:0.001,weight_decay:0.01,batch_size:64
2023-04-21 15:03:52,122 - CZHNet(
  (linear1): Linear(in_features=33, out_features=32, bias=True)
  (linear2): Linear(in_features=32, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=32, bias=True)
  (linear5): Linear(in_features=64, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=32, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-21 15:03:52,122 - This is for user0
2023-04-21 15:04:02,507 - Epoch:0/100,Train Accuracy:58.07128143310547%
2023-04-21 15:04:04,103 - Epoch:1/100,Train Accuracy:59.71639633178711%
2023-04-21 15:04:05,727 - Epoch:2/100,Train Accuracy:60.64209747314453%
2023-04-21 15:04:07,350 - Epoch:3/100,Train Accuracy:61.316436767578125%
2023-04-21 15:04:08,938 - Epoch:4/100,Train Accuracy:61.81916046142578%
2023-04-21 15:04:10,511 - Epoch:5/100,Train Accuracy:62.238670349121094%
2023-04-21 15:04:12,082 - Epoch:6/100,Train Accuracy:62.60791015625%
2023-04-21 15:04:13,658 - Epoch:7/100,Train Accuracy:62.98235321044922%
2023-04-21 15:04:15,261 - Epoch:8/100,Train Accuracy:63.48507308959961%
2023-04-21 15:04:16,847 - Epoch:9/100,Train Accuracy:63.75723648071289%
2023-04-21 15:04:18,432 - Epoch:10/100,Train Accuracy:64.00859832763672%
2023-04-21 15:04:20,018 - Epoch:11/100,Train Accuracy:64.43157958984375%
2023-04-21 15:04:21,631 - Epoch:12/100,Train Accuracy:64.39170837402344%
2023-04-21 15:04:23,238 - Epoch:13/100,Train Accuracy:64.76441192626953%
2023-04-21 15:04:24,842 - Epoch:14/100,Train Accuracy:65.0140380859375%
2023-04-21 15:04:26,454 - Epoch:15/100,Train Accuracy:65.55143737792969%
2023-04-21 15:04:28,060 - Epoch:16/100,Train Accuracy:65.49422454833984%
2023-04-21 15:04:29,663 - Epoch:17/100,Train Accuracy:65.74038696289062%
2023-04-21 15:04:31,276 - Epoch:18/100,Train Accuracy:65.97441101074219%
2023-04-21 15:04:32,896 - Epoch:19/100,Train Accuracy:66.40432739257812%
2023-04-21 15:04:34,506 - Epoch:20/100,Train Accuracy:66.51873779296875%
2023-04-21 15:04:36,117 - Epoch:21/100,Train Accuracy:66.92784881591797%
2023-04-21 15:04:37,740 - Epoch:22/100,Train Accuracy:66.87064361572266%
2023-04-21 15:04:39,346 - Epoch:23/100,Train Accuracy:67.15840911865234%
2023-04-21 15:04:41,003 - Epoch:24/100,Train Accuracy:67.24335479736328%
2023-04-21 15:04:42,606 - Epoch:25/100,Train Accuracy:67.47217559814453%
