2023-03-20 18:09:29,128 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-03-20 18:09:29,128 - LSTM_RNN(
  (lstm): LSTM(39, 128, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=128, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
)
2023-03-20 18:09:29,128 - This is for user7
2023-03-20 18:09:30,407 - Epoch:0/200,Train Accuracy:50.07462692260742%
2023-03-20 18:09:31,474 - Epoch:1/200,Train Accuracy:51.791046142578125%
2023-03-20 18:09:32,555 - Epoch:2/200,Train Accuracy:52.761192321777344%
2023-03-20 18:09:33,650 - Epoch:3/200,Train Accuracy:52.98507308959961%
2023-03-20 18:09:34,757 - Epoch:4/200,Train Accuracy:53.35820770263672%
2023-03-20 18:09:35,870 - Epoch:5/200,Train Accuracy:52.761192321777344%
2023-03-20 18:09:37,015 - Epoch:6/200,Train Accuracy:52.01492691040039%
2023-03-20 18:09:38,116 - Epoch:7/200,Train Accuracy:52.164180755615234%
2023-03-20 18:09:39,194 - Epoch:8/200,Train Accuracy:55.29850769042969%
2023-03-20 18:09:40,289 - Epoch:9/200,Train Accuracy:54.776119232177734%
2023-03-20 18:09:41,388 - Epoch:10/200,Train Accuracy:53.80596923828125%
2023-03-20 18:09:42,508 - Epoch:11/200,Train Accuracy:54.62686538696289%
2023-03-20 18:09:43,618 - Epoch:12/200,Train Accuracy:56.19403076171875%
2023-03-20 18:09:44,761 - Epoch:13/200,Train Accuracy:54.402984619140625%
2023-03-20 18:09:45,863 - Epoch:14/200,Train Accuracy:55.597015380859375%
2023-03-20 18:09:46,960 - Epoch:15/200,Train Accuracy:56.26865768432617%
2023-03-20 18:09:48,057 - Epoch:16/200,Train Accuracy:57.835819244384766%
2023-03-20 18:09:49,269 - Epoch:17/200,Train Accuracy:56.19403076171875%
2023-03-20 18:09:50,397 - Epoch:18/200,Train Accuracy:55.597015380859375%
