2023-04-19 11:19:26,877 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-19 11:19:26,877 - LSTMModel(
  (input_layer): Linear(in_features=39, out_features=128, bias=True)
  (lstm_layers): LSTM(128, 128, num_layers=3, batch_first=True)
  (dropout_layer): Dropout(p=0.5, inplace=False)
  (bn_layer): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc_layer): Linear(in_features=128, out_features=64, bias=True)
  (softmax_layer): Linear(in_features=64, out_features=2, bias=True)
  (softmax): Softmax(dim=1)
)
2023-04-19 11:19:26,877 - This is for user7
2023-04-19 11:19:28,043 - Epoch:0/200,Train Accuracy:52.6119384765625%
2023-04-19 11:19:29,010 - Epoch:1/200,Train Accuracy:61.49253845214844%
2023-04-19 11:19:29,976 - Epoch:2/200,Train Accuracy:57.6119384765625%
2023-04-19 11:19:30,943 - Epoch:3/200,Train Accuracy:56.7164192199707%
2023-04-19 11:19:31,908 - Epoch:4/200,Train Accuracy:62.08955383300781%
2023-04-19 11:19:32,876 - Epoch:5/200,Train Accuracy:65.59701538085938%
2023-04-19 11:19:33,852 - Epoch:6/200,Train Accuracy:68.28358459472656%
2023-04-19 11:19:34,845 - Epoch:7/200,Train Accuracy:66.94029998779297%
2023-04-19 11:19:35,828 - Epoch:8/200,Train Accuracy:65.89552307128906%
2023-04-19 11:19:36,827 - Epoch:9/200,Train Accuracy:68.6567153930664%
2023-04-19 11:19:37,826 - Epoch:10/200,Train Accuracy:68.6567153930664%
2023-04-19 11:19:38,810 - Epoch:11/200,Train Accuracy:69.10447692871094%
2023-04-19 11:19:39,883 - Epoch:12/200,Train Accuracy:69.17910766601562%
2023-04-19 11:19:40,879 - Epoch:13/200,Train Accuracy:65.52238464355469%
2023-04-19 11:19:41,885 - Epoch:14/200,Train Accuracy:65.223876953125%
2023-04-19 11:19:42,873 - Epoch:15/200,Train Accuracy:66.5671615600586%
2023-04-19 11:19:43,891 - Epoch:16/200,Train Accuracy:67.23880767822266%
2023-04-19 11:19:45,002 - Epoch:17/200,Train Accuracy:68.20895385742188%
2023-04-19 11:19:46,077 - Epoch:18/200,Train Accuracy:67.91044616699219%
2023-04-19 11:19:47,195 - Epoch:19/200,Train Accuracy:68.05970001220703%
2023-04-19 11:19:48,344 - Epoch:20/200,Train Accuracy:68.6567153930664%
2023-04-19 11:19:49,558 - Epoch:21/200,Train Accuracy:68.88059997558594%
2023-04-19 11:19:50,699 - Epoch:22/200,Train Accuracy:68.28358459472656%
2023-04-19 11:19:51,835 - Epoch:23/200,Train Accuracy:67.91044616699219%
2023-04-19 11:19:52,976 - Epoch:24/200,Train Accuracy:67.53731536865234%
2023-04-19 11:19:54,123 - Epoch:25/200,Train Accuracy:67.98507690429688%
2023-04-19 11:19:55,347 - Epoch:26/200,Train Accuracy:68.4328384399414%
2023-04-19 11:19:56,475 - Epoch:27/200,Train Accuracy:68.88059997558594%
