2023-04-19 16:18:36,706 - lr:0.001,weight_decay:1e-06,batch_size:20
2023-04-19 16:18:36,707 - LSTM_RNN(
  (lstm): LSTM(39, 256, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=256, out_features=64, bias=True)
  (lin2): Linear(in_features=64, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 16:18:36,707 - This is for user7
2023-04-19 16:18:38,844 - Epoch:0/200,Train Accuracy:57.68656539916992%
2023-04-19 16:18:40,814 - Epoch:1/200,Train Accuracy:64.32836151123047%
2023-04-19 16:18:42,797 - Epoch:2/200,Train Accuracy:64.62686920166016%
2023-04-19 16:18:44,869 - Epoch:3/200,Train Accuracy:66.41790771484375%
2023-04-19 16:18:46,913 - Epoch:4/200,Train Accuracy:65.44776153564453%
2023-04-19 16:18:49,016 - Epoch:5/200,Train Accuracy:67.01492309570312%
2023-04-19 16:18:51,027 - Epoch:6/200,Train Accuracy:66.41790771484375%
2023-04-19 16:18:53,049 - Epoch:7/200,Train Accuracy:66.5671615600586%
2023-04-19 16:18:55,091 - Epoch:8/200,Train Accuracy:67.08955383300781%
2023-04-19 16:18:57,187 - Epoch:9/200,Train Accuracy:66.0447769165039%
2023-04-19 16:18:59,425 - Epoch:10/200,Train Accuracy:66.41790771484375%
2023-04-19 16:19:01,706 - Epoch:11/200,Train Accuracy:67.31343078613281%
2023-04-19 16:19:03,867 - Epoch:12/200,Train Accuracy:65.89552307128906%
2023-04-19 16:19:05,941 - Epoch:13/200,Train Accuracy:66.49253845214844%
2023-04-19 16:19:08,083 - Epoch:14/200,Train Accuracy:67.6119384765625%
2023-04-19 16:19:10,170 - Epoch:15/200,Train Accuracy:68.20895385742188%
2023-04-19 16:19:12,198 - Epoch:16/200,Train Accuracy:68.20895385742188%
2023-04-19 16:19:14,242 - Epoch:17/200,Train Accuracy:67.46268463134766%
2023-04-19 16:19:16,259 - Epoch:18/200,Train Accuracy:66.94029998779297%
2023-04-19 16:19:18,289 - Epoch:19/200,Train Accuracy:67.23880767822266%
2023-04-19 16:19:20,364 - Epoch:20/200,Train Accuracy:67.98507690429688%
2023-04-19 16:19:22,470 - Epoch:21/200,Train Accuracy:66.64179229736328%
2023-04-19 16:19:24,582 - Epoch:22/200,Train Accuracy:67.01492309570312%
2023-04-19 16:19:26,739 - Epoch:23/200,Train Accuracy:67.53731536865234%
2023-04-19 16:19:28,827 - Epoch:24/200,Train Accuracy:67.31343078613281%
2023-04-19 16:19:30,899 - Epoch:25/200,Train Accuracy:69.25373077392578%
2023-04-19 16:19:32,963 - Epoch:26/200,Train Accuracy:67.08955383300781%
2023-04-19 16:19:34,984 - Epoch:27/200,Train Accuracy:68.35820770263672%
2023-04-19 16:19:37,044 - Epoch:28/200,Train Accuracy:66.5671615600586%
2023-04-19 16:19:39,034 - Epoch:29/200,Train Accuracy:68.58209228515625%
2023-04-19 16:19:41,097 - Epoch:30/200,Train Accuracy:66.5671615600586%
2023-04-19 16:19:43,295 - Epoch:31/200,Train Accuracy:67.31343078613281%
2023-04-19 16:19:45,376 - Epoch:32/200,Train Accuracy:68.7313461303711%
2023-04-19 16:19:47,453 - Epoch:33/200,Train Accuracy:67.98507690429688%
2023-04-19 16:19:49,490 - Epoch:34/200,Train Accuracy:68.13433074951172%
2023-04-19 16:19:51,523 - Epoch:35/200,Train Accuracy:67.6119384765625%
2023-04-19 16:19:53,593 - Epoch:36/200,Train Accuracy:67.46268463134766%
2023-04-19 16:19:55,643 - Epoch:37/200,Train Accuracy:67.91044616699219%
2023-04-19 16:19:57,682 - Epoch:38/200,Train Accuracy:66.49253845214844%
2023-04-19 16:19:59,856 - Epoch:39/200,Train Accuracy:67.76119232177734%
2023-04-19 16:20:01,981 - Epoch:40/200,Train Accuracy:67.3880615234375%
2023-04-19 16:20:04,064 - Epoch:41/200,Train Accuracy:67.46268463134766%
2023-04-19 16:20:06,058 - Epoch:42/200,Train Accuracy:68.28358459472656%
2023-04-19 16:20:08,104 - Epoch:43/200,Train Accuracy:68.9552230834961%
2023-04-19 16:20:10,167 - Epoch:44/200,Train Accuracy:68.13433074951172%
2023-04-19 16:20:12,249 - Epoch:45/200,Train Accuracy:67.6119384765625%
2023-04-19 16:20:14,327 - Epoch:46/200,Train Accuracy:66.64179229736328%
2023-04-19 16:20:16,628 - Epoch:47/200,Train Accuracy:67.76119232177734%
2023-04-19 16:20:18,769 - Epoch:48/200,Train Accuracy:68.80596923828125%
2023-04-19 16:20:20,908 - Epoch:49/200,Train Accuracy:68.9552230834961%
2023-04-19 16:20:22,938 - Epoch:50/200,Train Accuracy:67.91044616699219%
2023-04-19 16:20:24,968 - Epoch:51/200,Train Accuracy:68.80596923828125%
2023-04-19 16:20:27,037 - Epoch:52/200,Train Accuracy:69.25373077392578%
2023-04-19 16:20:29,092 - Epoch:53/200,Train Accuracy:68.50746154785156%
